produccion_gas_natural_total,produccion_gas,cuenca_produccion_gas_natural_cuenca_austral,cuenca_produccion_gas_natural_cuenca_cuyana,cuenca_produccion_gas_natural_cuenca_gsj,cuenca_produccion_gas_natural_cuenca_neuquina,cuenca_produccion_gas_natural_cuenca_noroeste
3696890.7025,2359413.7193,0,0,0,1,0
3990367.3806,2422651.6884,0,0,0,1,0
4000200.0774,2460131.3406,0,0,0,1,0
3770586.3341,2360072.9984,0,0,0,1,0
4014110.5733,2440365.4224,0,0,0,1,0
3948838.2895,2424397.1193,0,0,0,1,0
4245784.3515,2624905.7915,0,0,0,1,0
4199866.064,2625055.1052,0,0,0,1,0
4476980.7069,2825676.2937,0,0,0,1,0
4477110.1681,2835408.7958,0,0,0,1,0
4138301.5574,2585550.1891,0,0,0,1,0
4336931.5435,2742708.2894,0,0,0,1,0
3809542.8392,2358756.6023,0,0,0,1,0
3932837.7832,2453176.213,0,0,0,1,0
4037202.2529,2531540.3212,0,0,0,1,0
3703770.4612,2318310.7305,0,0,0,1,0
3925264.1268,2420996.0804,0,0,0,1,0
3502211.748,2114694.9626,0,0,0,1,0
3858610.254,2338840.1706,0,0,0,1,0
3780658.4149,2318492.142,0,0,0,1,0
3931669.5227,2447894.3466,0,0,0,1,0
3895558.8723,2437837.0799,0,0,0,1,0
3685327.0507,2253932.8402,0,0,0,1,0
3778039.7528,2295075.9927,0,0,0,1,0
3471571.8164,2073481.2011,0,0,0,1,0
3529778.4583,2102920.0992,0,0,0,1,0
3596174.8071,2148390.0699,0,0,0,1,0
3208074.3086,1915575.4731,0,0,0,1,0
3549947.412,2168624.2193,0,0,0,1,0
3426856.0022,2054049.4353,0,0,0,1,0
3759604.2808,2349842.5102,0,0,0,1,0
3810692.1877,2459798.7428,0,0,0,1,0
4052611.6108,2650124.7121,0,0,0,1,0
4145491.4139,2739016.5171,0,0,0,1,0
3980185.9078,2638063.4941,0,0,0,1,0
3944138.1659,2606388.6022,0,0,0,1,0
3836347.1643,2530579.6163,0,0,0,1,0
3994731.0349,2654057.0987,0,0,0,1,0
4028544.1807,2702505.9475,0,0,0,1,0
3565161.9573,2353589.2588,0,0,0,1,0
3889775.3316,2709280.8951,0,0,0,1,0
3821227.1886,2536333.4574,0,0,0,1,0
4217944.5862,2901156.5447,0,0,0,1,0
4185129.4605,2895145.2169,0,0,0,1,0
4345850.1304,3022541.7557,0,0,0,1,0
4386353.5563,3042124.5016,0,0,0,1,0
4082376.3344,2794751.1964,0,0,0,1,0
4112656.8386,2796816.4295,0,0,0,1,0
3795389.1778,2529765.3853,0,0,0,1,0
3991324.9379,2691048.9661,0,0,0,1,0
3993062.7062,2705023.0841,0,0,0,1,0
3637194.3959,2474030.2392,0,0,0,1,0
3993956.2904,2711716.3722,0,0,0,1,0
3863129.6105,2668665.9119,0,0,0,1,0
4183843.5899,2908748.7123,0,0,0,1,0
4146160.0109,2901327.3032,0,0,0,1,0
4282758.6424,3010809.3872,0,0,0,1,0
4476588.5425,3206325.8261,0,0,0,1,0
4296508.4938,3072055.7154,0,0,0,1,0
3905065.2173,2652602.5235,0,0,0,1,0
3789588.641,2629891.2073,0,0,0,1,0
3538736.1746,2415009.672,0,0,0,1,0
3837941.8496,2702096.6806,0,0,0,1,0
3887661.2613,2746594.3758,0,0,0,1,0
4174409.1002,2966386.1653,0,0,0,1,0
4084730.3735,2934957.3876,0,0,0,1,0
4654371.4233,3439697.6475,0,0,0,1,0
4426739.1463,3286134.8811,0,0,0,1,0
4709073.5953,3544368.995,0,0,0,1,0
4744011.1561,3560944.3681,0,0,0,1,0
4416565.9503,3264607.0317,0,0,0,1,0
4128082.1499,2883778.0906,0,0,0,1,0
3815327.4009,2662173.3698,0,0,0,1,0
3859003.3931,2702780.2275,0,0,0,1,0
3540196.8855,263495.368,0,0,0,0,1
3191664.5172,233504.3885,0,0,0,0,1
3477941.0797,254380.6826,0,0,0,0,1
3256041.4563,239112.5697,0,0,0,0,1
3543986.5352,247344.8389,0,0,0,0,1
3434195.7948,237460.6854,0,0,0,0,1
3574370.843,241655.8747,0,0,0,0,1
3558880.6232,239866.4657,0,0,0,0,1
3457725.7426,232421.3481,0,0,0,0,1
3483535.8517,237126.5741,0,0,0,0,1
3419441.5123,227522.7475,0,0,0,0,1
3549082.2995,239382.4161,0,0,0,0,1
3595411.7676,245215.112,0,0,0,0,1
3229384.8153,219207.6163,0,0,0,0,1
3612215.2068,239574.3914,0,0,0,0,1
3515652.4708,235939.4585,0,0,0,0,1
3669759.3102,245689.7106,0,0,0,0,1
3540088.7947,235722.6781,0,0,0,0,1
3637092.8331,240104.3054,0,0,0,0,1
3715738.5944,245792.2401,0,0,0,0,1
3535013.9544,233798.8848,0,0,0,0,1
3708454.3942,241543.9371,0,0,0,0,1
3556911.4898,230396.7193,0,0,0,0,1
3587276.7592,239598.9607,0,0,0,0,1
3711353.0749,237345.6141,0,0,0,0,1
3483502.5681,219300.3869,0,0,0,0,1
3782028.7958,227001.2881,0,0,0,0,1
3687578.9877,218779.9939,0,0,0,0,1
3852549.9407,232231.4008,0,0,0,0,1
3721524.8138,222454.7085,0,0,0,0,1
3894415.6663,228611.1919,0,0,0,0,1
3870650.3573,225813.134,0,0,0,0,1
3719851.8787,215117.3172,0,0,0,0,1
3863078.6613,219059.9703,0,0,0,0,1
3637056.0731,210972.9569,0,0,0,0,1
3764330.6639,214555.8474,0,0,0,0,1
3815996.8983,214871.0656,0,0,0,0,1
3273889.2438,193729.5535,0,0,0,0,1
3788823.2969,211337.3976,0,0,0,0,1
3698604.1467,203406.577,0,0,0,0,1
3785410.7631,208062.5106,0,0,0,0,1
3668775.516,197862.6806,0,0,0,0,1
3825200.1362,202551.8481,0,0,0,0,1
3838502.1784,200391.1529,0,0,0,0,1
3727261.1906,191379.9824,0,0,0,0,1
3847171.183,196293.5216,0,0,0,0,1
3556408.6461,187751.79,0,0,0,0,1
3794734.1028,193198.4353,0,0,0,0,1
3845395.7151,191083.0689,0,0,0,0,1
3495493.4303,165962.256,0,0,0,0,1
3901910.4606,179273.5193,0,0,0,0,1
3877470.2839,168447.2146,0,0,0,0,1
3945485.4795,181682.0853,0,0,0,0,1
3966887.6913,176058.5994,0,0,0,0,1
4096363.7705,181561.429,0,0,0,0,1
4147977.1529,182083.3631,0,0,0,0,1
3954011.5223,172112.2739,0,0,0,0,1
4103313.8493,175659.1519,0,0,0,0,1
3696890.7025,167395.465,0,0,0,0,1
3990367.3806,167675.3331,0,0,0,0,1
4000200.0774,163318.5963,0,0,0,0,1
3770586.3341,144338.7839,0,0,0,0,1
4014110.5733,157687.1242,0,0,0,0,1
3948838.2895,154235.8215,0,0,0,0,1
4245784.3515,158373.2511,0,0,0,0,1
4199866.064,152997.0387,0,0,0,0,1
4476980.7069,154779.8666,0,0,0,0,1
4477110.1681,153629.2577,0,0,0,0,1
4138301.5574,148080.4802,0,0,0,0,1
4336931.5435,154623.6464,0,0,0,0,1
3809542.8392,148335.1373,0,0,0,0,1
3932837.7832,152362.7572,0,0,0,0,1
4037202.2529,152143.4102,0,0,0,0,1
3703770.4612,138763.6016,0,0,0,0,1
3925264.1268,148807.0332,0,0,0,0,1
3502211.748,141777.4946,0,0,0,0,1
3858610.254,144543.1041,0,0,0,0,1
3780658.4149,138479.4137,0,0,0,0,1
3931669.5227,143287.1667,0,0,0,0,1
3895558.8723,139932.762,0,0,0,0,1
3685327.0507,138600.5214,0,0,0,0,1
3778039.7528,144287.8796,0,0,0,0,1
3471571.8164,136219.2189,0,0,0,0,1
3529778.4583,137306.7197,0,0,0,0,1
3596174.8071,137132.0304,0,0,0,0,1
3208074.3086,122620.2359,0,0,0,0,1
3549947.412,136338.418,0,0,0,0,1
3426856.0022,129400.2777,0,0,0,0,1
3759604.2808,132197.6934,0,0,0,0,1
3810692.1877,127684.0038,0,0,0,0,1
4052611.6108,130829.9369,0,0,0,0,1
4145491.4139,128942.6926,0,0,0,0,1
3980185.9078,124574.007,0,0,0,0,1
3944138.1659,125859.5956,0,0,0,0,1
3836347.1643,121402.8676,0,0,0,0,1
3994731.0349,124704.183,0,0,0,0,1
4028544.1807,122432.7848,0,0,0,0,1
3565161.9573,110781.0297,0,0,0,0,1
3889775.3316,122108.9332,0,0,0,0,1
3821227.1886,116780.4076,0,0,0,0,1
4217944.5862,119258.577,0,0,0,0,1
4185129.4605,114727.7719,0,0,0,0,1
4345850.1304,118741.0721,0,0,0,0,1
4386353.5563,118252.1563,0,0,0,0,1
4082376.3344,114413.047,0,0,0,0,1
4112656.8386,117547.1699,0,0,0,0,1
3795389.1778,112334.8529,0,0,0,0,1
3991324.9379,115288.3233,0,0,0,0,1
3993062.7062,115027.8483,0,0,0,0,1
3637194.3959,103327.9129,0,0,0,0,1
3993956.2904,112697.4068,0,0,0,0,1
3863129.6105,108649.571,0,0,0,0,1
4183843.5899,111650.236,0,0,0,0,1
4146160.0109,107646.5083,0,0,0,0,1
4282758.6424,110597.483,0,0,0,0,1
4476588.5425,109707.3707,0,0,0,0,1
4296508.4938,105241.7334,0,0,0,0,1
3905065.2173,108316.5733,0,0,0,0,1
3789588.641,104024.1371,0,0,0,0,1
3538736.1746,107007.8136,0,0,0,0,1
3837941.8496,106192.3961,0,0,0,0,1
3887661.2613,98939.474,0,0,0,0,1
4174409.1002,105303.5847,0,0,0,0,1
4084730.3735,101464.2804,0,0,0,0,1
4654371.4233,104719.0544,0,0,0,0,1
4426739.1463,100386.1993,0,0,0,0,1
4709073.5953,103516.4432,0,0,0,0,1
4744011.1561,104424.1432,0,0,0,0,1
4416565.9503,100913.1159,0,0,0,0,1
4128082.1499,105619.802,0,0,0,0,1
3815327.4009,101260.9692,0,0,0,0,1
3859003.3931,104054.2108,0,0,0,0,1
3540196.8855,4599.6114,0,1,0,0,0
3191664.5172,4352.7275,0,1,0,0,0
3477941.0797,4891.704,0,1,0,0,0
3256041.4563,4763.2185,0,1,0,0,0
3543986.5352,4877.9888,0,1,0,0,0
3434195.7948,4728.3365,0,1,0,0,0
3574370.843,4842.5747,0,1,0,0,0
3558880.6232,4698.5685,0,1,0,0,0
3457725.7426,4592.7158,0,1,0,0,0
3483535.8517,4716.0452,0,1,0,0,0
3419441.5123,4644.1054,0,1,0,0,0
3549082.2995,4688.6722,0,1,0,0,0
3595411.7676,4682.0369,0,1,0,0,0
3229384.8153,4173.3553,0,1,0,0,0
3612215.2068,4636.2345,0,1,0,0,0
3515652.4708,4369.5897,0,1,0,0,0
3669759.3102,4406.1529,0,1,0,0,0
3540088.7947,4247.0594,0,1,0,0,0
3637092.8331,4530.658,0,1,0,0,0
3715738.5944,4532.9619,0,1,0,0,0
3535013.9544,4558.3549,0,1,0,0,0
3708454.3942,4772.1856,0,1,0,0,0
3556911.4898,4599.5758,0,1,0,0,0
3587276.7592,4537.6397,0,1,0,0,0
3711353.0749,4510.5726,0,1,0,0,0
3483502.5681,4133.9385,0,1,0,0,0
3782028.7958,4593.9451,0,1,0,0,0
3687578.9877,4356.1647,0,1,0,0,0
3852549.9407,4270.9032,0,1,0,0,0
3721524.8138,4113.4891,0,1,0,0,0
3894415.6663,4435.3564,0,1,0,0,0
3870650.3573,4502.6912,0,1,0,0,0
3719851.8787,4331.9144,0,1,0,0,0
3863078.6613,4198.7387,0,1,0,0,0
3637056.0731,4030.2517,0,1,0,0,0
3764330.6639,3825.8617,0,1,0,0,0
3815996.8983,4390.204,0,1,0,0,0
3273889.2438,3723.0377,0,1,0,0,0
3788823.2969,4195.3741,0,1,0,0,0
3698604.1467,3996.1721,0,1,0,0,0
3785410.7631,4124.0716,0,1,0,0,0
3668775.516,3758.2511,0,1,0,0,0
3825200.1362,3934.1465,0,1,0,0,0
3838502.1784,3991.1482,0,1,0,0,0
3727261.1906,4083.6612,0,1,0,0,0
3847171.183,4059.8135,0,1,0,0,0
3556408.6461,3844.8189,0,1,0,0,0
3794734.1028,4318.7222,0,1,0,0,0
3845395.7151,4440.8157,0,1,0,0,0
3495493.4303,3988.8159,0,1,0,0,0
3901910.4606,4312.2948,0,1,0,0,0
3877470.2839,4238.1506,0,1,0,0,0
3945485.4795,4073.6408,0,1,0,0,0
3966887.6913,4028.1737,0,1,0,0,0
4096363.7705,4179.9222,0,1,0,0,0
4147977.1529,4194.2583,0,1,0,0,0
3954011.5223,3840.4157,0,1,0,0,0
4103313.8493,3925.4038,0,1,0,0,0
3696890.7025,3705.8118,0,1,0,0,0
3990367.3806,4041.1405,0,1,0,0,0
4000200.0774,3988.8752,0,1,0,0,0
3770586.3341,3660.0503,0,1,0,0,0
4014110.5733,4132.4018,0,1,0,0,0
3948838.2895,3960.8433,0,1,0,0,0
4245784.3515,4231.6723,0,1,0,0,0
4199866.064,3940.8988,0,1,0,0,0
4476980.7069,4154.479,0,1,0,0,0
4477110.1681,4512.7958,0,1,0,0,0
4138301.5574,4264.2235,0,1,0,0,0
4336931.5435,4412.6883,0,1,0,0,0
3809542.8392,4270.0012,0,1,0,0,0
3932837.7832,4535.3854,0,1,0,0,0
4037202.2529,4492.5086,0,1,0,0,0
3703770.4612,4223.0885,0,1,0,0,0
3925264.1268,4567.1007,0,1,0,0,0
3502211.748,4060.4786,0,1,0,0,0
3858610.254,3970.2989,0,1,0,0,0
3780658.4149,3524.39,0,1,0,0,0
3931669.5227,4022.178,0,1,0,0,0
3895558.8723,4237.296,0,1,0,0,0
3685327.0507,3828.709,0,1,0,0,0
3778039.7528,4150.79,0,1,0,0,0
3471571.8164,4019.5393,0,1,0,0,0
3529778.4583,4012.4665,0,1,0,0,0
3596174.8071,3998.416,0,1,0,0,0
3208074.3086,3627.7812,0,1,0,0,0
3549947.412,3937.3866,0,1,0,0,0
3426856.0022,3922.124,0,1,0,0,0
3759604.2808,4081.579,0,1,0,0,0
3810692.1877,3833.4967,0,1,0,0,0
4052611.6108,4065.3024,0,1,0,0,0
4145491.4139,4436.0204,0,1,0,0,0
3980185.9078,4231.7995,0,1,0,0,0
3944138.1659,4321.6555,0,1,0,0,0
3836347.1643,4328.5766,0,1,0,0,0
3994731.0349,4457.7397,0,1,0,0,0
4028544.1807,4341.9636,0,1,0,0,0
3565161.9573,3844.683,0,1,0,0,0
3889775.3316,4376.3253,0,1,0,0,0
3821227.1886,4122.6202,0,1,0,0,0
4217944.5862,4385.338,0,1,0,0,0
4185129.4605,4099.6213,0,1,0,0,0
4345850.1304,4122.9626,0,1,0,0,0
4386353.5563,4434.9234,0,1,0,0,0
4082376.3344,4146.8151,0,1,0,0,0
4112656.8386,4373.555,0,1,0,0,0
3795389.1778,4516.7139,0,1,0,0,0
3991324.9379,4209.6053,0,1,0,0,0
3993062.7062,4279.7062,0,1,0,0,0
3637194.3959,3909.1223,0,1,0,0,0
3993956.2904,4262.5144,0,1,0,0,0
3863129.6105,4193.4602,0,1,0,0,0
4183843.5899,4543.2083,0,1,0,0,0
4146160.0109,4568.5703,0,1,0,0,0
4282758.6424,4600.1861,0,1,0,0,0
4476588.5425,4536.2659,0,1,0,0,0
4296508.4938,4526.9737,0,1,0,0,0
3905065.2173,4342.2296,0,1,0,0,0
3789588.641,3886.2861,0,1,0,0,0
3538736.1746,4241.8615,0,1,0,0,0
3837941.8496,4557.406,0,1,0,0,0
3887661.2613,4046.6169,0,1,0,0,0
4174409.1002,4272.1584,0,1,0,0,0
4084730.3735,4405.7685,0,1,0,0,0
4654371.4233,4333.6403,0,1,0,0,0
4426739.1463,4337.4743,0,1,0,0,0
4709073.5953,3581.3832,0,1,0,0,0
4744011.1561,3592.2656,0,1,0,0,0
4416565.9503,3488.3859,0,1,0,0,0
4128082.1499,3578.4419,0,1,0,0,0
3815327.4009,3431.558,0,1,0,0,0
3859003.3931,3619.6115,0,1,0,0,0
